AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,Class
389859,2265.5581,804.163,619.6666,0.6374,704.5452,0.9967,391136,0
342514,2154.021,764.3176,573.2928,0.6614,660.3805,0.9912,345541,0
414954,2325.3181,774.8641,684.9321,0.4676,726.8671,0.9941,417404,0
314313,2040.285,728.9534,550.9473,0.6548,632.6102,0.9943,316111,0
347694,2187.4561,791.2161,563.1738,0.7024,665.3553,0.9898,351288,0
423905,2363.958,836.8923,646.8287,0.6345,734.665,0.9969,425214,0
445381,2407.5071,807.8385,705.3541,0.4875,753.045,0.9964,446993,0
409607,2351.354,835.5469,627.9048,0.6597,722.1688,0.9912,413253,0
419554,2354.084,832.2401,643.96,0.6335,730.8849,0.996,421223,0
426810,2389.9141,836.486,655.8799,0.6206,737.178,0.9939,429451,0
443805,2390.481,797.2593,710.5616,0.4535,751.7114,0.9973,445009,0
402279,2295.863,798.9365,643.2753,0.5931,715.6797,0.9936,404887,0
426661,2412.625,845.353,645.3922,0.6459,737.0493,0.9891,431346,0
439197,2437.428,829.2604,677.1343,0.5773,747.7988,0.9893,443940,0
442845,2422.366,836.9063,677.0573,0.5878,750.8979,0.9941,445459,0
424225,2391.501,838.0681,650.075,0.6311,734.9422,0.9946,426523,0
416064,2359.616,818.8146,650.6287,0.6071,727.8387,0.9924,419269,0
453074,2464.8979,855.7032,681.0208,0.6055,759.5208,0.9948,455449,0
409032,2313.9509,804.1159,650.1132,0.5885,721.6618,0.9947,411212,0
429203,2362.936,831.4949,658.4715,0.6106,739.2416,0.9971,430464,0
453763,2476.709,851.0314,684.578,0.5941,760.098,0.9909,457931,0
353766,2150.718,720.5316,629.297,0.487,671.14,0.9936,356027,0
288730,1997.627,740.3677,497.8095,0.7402,606.3188,0.9891,291913,0
411542,2339.4231,814.2525,646.2658,0.6083,723.8726,0.9925,414646,0
383504,2288.917,784.1191,626.8956,0.6007,698.7792,0.9907,387106,0
430176,2396.55,865.903,637.2376,0.6771,740.0791,0.9974,431277,0
438436,2417.197,860.3224,652.1378,0.6522,747.1506,0.997,439735,0
497802,2561.291,907.5524,701.4491,0.6345,796.1289,0.9957,499948,0
454917,2485.562,869.7584,672.0792,0.6347,761.064,0.9927,458273,0
392588,2274.2759,803.3082,625.8399,0.6269,707.0068,0.9973,393637,0
384232,2263.4819,787.2324,624.8104,0.6083,699.4422,0.9914,387562,0
294273,2004.96,735.2715,510.9962,0.719,612.1111,0.9922,296579,0
445290,2435.3889,857.8929,663.8074,0.6335,752.968,0.994,448000,0
375936,2255.8411,817.8654,589.0416,0.6937,691.8501,0.9945,378008,0
439650,2447.7371,890.0155,635.1306,0.7005,748.1843,0.9926,442920,0
433338,2423.301,836.3414,664.9469,0.6065,742.7941,0.9932,436301,0
500669,2580.3069,913.3773,702.0745,0.6397,798.4182,0.9948,503290,0
230122,1804.354,649.0608,454.532,0.7139,541.2952,0.9883,232846,1
231946,1800.8101,678.9835,436.4881,0.766,543.4361,0.9922,233763,1
218006,1754.282,671.6726,414.585,0.7868,526.8528,0.993,219532,1
272074,2031.781,778.5798,446.9384,0.8188,588.5706,0.9823,276985,1
222790,1766.324,651.6551,436.6493,0.7423,532.6021,0.9932,224312,1
332286,2287.0071,875.3194,485.2886,0.8322,650.4457,0.9807,338814,1
265701,1968.802,746.8929,454.7724,0.7933,581.6365,0.992,267851,1
213610,1742.515,644.6515,422.7329,0.755,521.5139,0.9896,215860,1
267823,1988.671,781.2097,441.0466,0.8254,583.9545,0.9915,270119,1
235942,1893.777,744.0038,404.7032,0.8391,548.0974,0.9831,239996,1
261890,2027.2321,697.621,482.5237,0.7222,577.4502,0.9751,268565,1
285100,2053.1699,791.5107,463.6347,0.8105,602.4953,0.9897,288053,1
326556,2313.791,856.9423,487.3175,0.8226,644.8132,0.9792,333503,1
225074,1813.77,695.2525,413.8533,0.8035,535.3253,0.9921,226857,1
217486,1759.136,628.9557,442.0542,0.7113,526.2241,0.9899,219701,1
277321,2136.825,687.59,517.3867,0.6586,594.2189,0.976,284128,1
270195,2019.839,773.6254,446.5426,0.8166,586.5347,0.9838,274651,1
218442,1739.191,643.4506,434.7849,0.7372,527.3793,0.9927,220046,1
271398,1965.458,750.8526,461.674,0.7886,587.839,0.9942,272988,1
253276,1961.04,740.2677,437.3487,0.8068,567.8741,0.9822,257864,1
215340,1741.5811,656.6985,418.8187,0.7702,523.6215,0.9936,216718,1
248661,1888.577,679.4809,468.2696,0.7246,562.6766,0.9825,253084,1
161461,1519.229,583.6688,352.6311,0.7969,453.4077,0.994,162441,1
270495,1909.204,680.4979,506.7375,0.6674,586.8602,0.993,272412,1
192966,1718.127,656.2819,433.3523,0.751,495.6732,0.909,212294,1
254070,1919.738,730.9252,445.2328,0.7931,568.7635,0.9926,255975,1
206921,1741.754,675.7445,392.1072,0.8144,513.2836,0.9924,208515,1
180508,1600.713,607.4841,379.2685,0.7812,479.4058,0.9938,181643,1
296944,2109.8491,796.0836,475.9379,0.8016,614.8828,0.9871,300810,1
163130,1535.853,603.0044,345.0351,0.8201,455.7451,0.9946,164013,1
232841,1773.947,622.0897,477.5462,0.6409,544.4836,0.9935,234357,1
247112,1885.546,694.2448,455.8577,0.7542,560.9214,0.9899,249644,1
246014,1883.0909,703.1213,448.6442,0.77,559.6738,0.9893,248668,1
245029,1868.936,686.7975,455.5268,0.7484,558.5522,0.9857,248578,1
210311,1798.92,671.3657,443.1094,0.7513,517.4711,0.919,228850,1
154570,1469.786,535.559,368.1646,0.7262,443.6267,0.9913,155926,1
260999,1924.509,670.0057,499.8724,0.6659,576.467,0.9813,265960,1
212744,1720.303,628.2148,432.3847,0.7254,520.4556,0.9918,214501,1
261085,1933.101,729.5468,458.4311,0.7779,576.562,0.9909,263485,1
219065,1769.278,677.1313,414.3256,0.7909,528.1309,0.9937,220445,1
179780,1605.504,588.5084,390.5041,0.7481,478.4381,0.989,181785,1
169573,1548.983,594.8965,364.4516,0.7904,464.658,0.9932,170738,1
236515,1795.649,604.2608,502.4642,0.5555,548.7625,0.9923,238359,1
248928,1888.111,719.0459,443.0684,0.7876,562.9786,0.9906,251287,1
233279,1812.4,649.0758,459.3955,0.7064,544.9955,0.9865,236470,1
226401,1787.076,679.6693,425.3827,0.7799,536.901,0.9934,227903,1
246558,1865.2419,664.2224,475.3474,0.6985,560.2922,0.9865,249939,1
318444,2127.3269,805.9418,504.5724,0.7798,636.7538,0.9938,320434,1
248660,1877.7,696.1558,456.765,0.7547,562.6755,0.9922,250624,1
300532,2084.9929,782.9263,492.0452,0.7778,618.5865,0.9832,305681,1
239253,1839.9301,670.9352,455.55,0.7342,551.9297,0.9887,241982,1
190722,1769.671,664.2511,418.4305,0.7767,492.7827,0.8928,213622,1
197484,1709.35,648.6502,391.0428,0.7978,501.4424,0.989,199672,1
242874,1843.916,647.9982,479.8817,0.672,556.0906,0.9906,245181,1
338670,2195.106,792.2873,546.0946,0.7245,656.6643,0.9893,342339,1
205893,1693.483,615.3438,428.3036,0.718,512.007,0.9902,207928,1
246430,1910.897,732.1472,431.656,0.8077,560.1468,0.9843,250368,1
189127,1660.097,621.9744,389.451,0.7797,490.7178,0.9843,192139,1
254321,1869.425,665.5273,489.1867,0.678,569.0444,0.9899,256906,1
320905,2131.252,787.4969,520.4378,0.7505,639.2096,0.9918,323570,1
237021,1826.079,661.274,457.4288,0.7221,549.3492,0.9936,238547,1
320180,2153.5339,781.1882,525.6301,0.7398,638.4871,0.9852,324998,1
237074,1827.438,676.1337,447.9627,0.749,549.4106,0.9919,239003,1
212851,1826.406,675.8557,453.7003,0.7412,520.5865,0.8987,236831,1
253677,1859.243,666.5269,486.7168,0.6832,568.3235,0.9924,255626,1
211558,1743.938,657.1328,413.1603,0.7776,519.0029,0.992,213269,1
351733,2261.1001,840.3734,544.2642,0.7619,669.2087,0.9787,359388,1
226442,1776.88,624.4857,463.8141,0.6696,536.9496,0.9875,229315,1
274959,1959.943,718.3584,489.0562,0.7325,591.6829,0.9897,277815,1
198410,1695.782,636.7207,398.5815,0.7798,502.6166,0.9875,200919,1
215507,1800.814,707.0419,389.2315,0.8348,523.8244,0.9928,217059,1
209998,1728.412,619.6617,433.4965,0.7146,517.0858,0.9851,213177,1
267943,1993.986,760.1838,451.6438,0.8044,584.0853,0.9863,271677,1
252950,1909.678,738.9279,438.0078,0.8054,567.5085,0.9929,254759,1
220042,1758.4399,653.5543,430.2653,0.7527,529.3073,0.9922,221766,1
202546,1698.973,605.3612,428.199,0.7069,507.8283,0.988,205007,1
189983,1672.8831,641.0609,378.4418,0.8072,491.8271,0.9919,191529,1
187606,1630.703,599.4528,399.2988,0.7459,488.7406,0.9913,189262,1
214952,1758.241,655.6318,419.8517,0.7681,523.1495,0.9903,217060,1
203607,1703.28,614.098,423.8694,0.7236,509.1566,0.992,205240,1
220056,1726.933,618.8439,455.1255,0.6776,529.3241,0.9936,221476,1
243520,1906.798,719.8704,431.61,0.8003,556.8297,0.9871,246708,1
176050,1573.8521,590.4749,380.9525,0.764,473.4489,0.9916,177533,1
161602,1700.896,671.8093,404.6781,0.7982,453.6056,0.8374,192973,1
196414,1653.057,605.6224,414.072,0.7298,500.0821,0.9885,198709,1
222950,1752.439,602.6717,474.1278,0.6173,532.7933,0.9903,225128,1
250947,1905.2841,732.446,439.0812,0.8004,565.2571,0.9908,253287,1
239427,1875.272,708.0372,431.308,0.793,552.1304,0.9881,242306,1
190954,1628.9189,610.1746,399.0778,0.7565,493.0823,0.9937,192158,1
216487,1746.856,659.9696,420.1559,0.7712,525.0141,0.9923,218176,1
280320,2029.684,751.5424,476.7822,0.773,597.4232,0.9836,285002,1
191163,1695.764,641.0919,380.346,0.805,493.3521,0.9865,193780,1
197424,1691.033,623.2335,405.1581,0.7599,501.3662,0.9896,199490,1
192454,1657.265,622.9678,394.7744,0.7736,495.0152,0.9902,194360,1
212900,1740.348,651.9711,417.6589,0.7679,520.6464,0.9901,215025,1
177803,1573.6281,605.3248,375.6269,0.7842,475.8002,0.9948,178732,1
226586,1773.175,662.9202,436.9543,0.752,537.1204,0.9919,228431,1
209100,1708.429,642.4437,416.5172,0.7614,515.9791,0.9918,210832,1
138167,1370.208,498.7525,353.9258,0.7046,419.4278,0.9925,139208,2
138362,1411.187,525.3536,336.471,0.768,419.7237,0.9836,140663,2
160562,1514.448,570.1646,359.911,0.7756,452.1436,0.9913,161971,2
208042,1725.811,649.4158,411.8994,0.7731,514.6721,0.9918,209753,2
143391,1416.606,544.4253,335.9414,0.7869,427.2834,0.9943,144211,2
209723,1749.959,686.3148,390.2822,0.8226,516.7471,0.9928,211245,2
156476,1502.326,565.1384,353.8776,0.7797,446.3535,0.9882,158340,2
126137,1356.411,507.2314,318.8602,0.7777,400.7526,0.9857,127966,2
143297,1440.493,559.0104,328.0878,0.8097,427.1433,0.9927,144347,2
147389,1481.552,570.8041,332.1487,0.8133,433.1992,0.986,149481,2
134784,1396.613,512.9982,337.8875,0.7524,414.2612,0.9814,137337,2
145210,1424.349,535.0179,346.342,0.7622,429.985,0.992,146385,2
146059,1428.892,518.9333,359.8793,0.7205,431.2402,0.9903,147483,2
166950,1568.7729,578.2525,372.5923,0.7647,461.0503,0.9879,168988,2
150891,1453.5959,532.0154,363.603,0.73,438.3154,0.9888,152606,2
106793,1217.454,434.7454,313.3625,0.6931,368.7453,0.9883,108062,2
190634,1662.217,625.8346,390.4694,0.7815,492.669,0.9884,192862,2
144637,1422.494,523.191,352.5846,0.7388,429.1358,0.9905,146022,2
129886,1365.856,519.2155,318.9104,0.7891,406.6645,0.9908,131098,2
126292,1319.9,488.1225,330.096,0.7367,400.9987,0.9929,127190,2
136138,1404.201,530.9112,329.2051,0.7845,416.3367,0.988,137796,2
151713,1481.229,582.5072,331.9456,0.8217,439.5077,0.9931,152772,2
99342,1151.923,404.4212,313.0898,0.633,355.6489,0.9921,100135,2
73663,999.363,362.0138,259.5558,0.6971,306.2526,0.994,74107,2
143668,1446.12,553.8131,332.1207,0.8002,427.6959,0.9889,145285,2
63328,933.937,342.7969,235.6772,0.7262,283.9572,0.989,64034,2
113667,1251.496,462.6203,313.1204,0.7361,380.4278,0.9936,114397,2
148679,1477.3669,565.0262,337.5208,0.802,435.0908,0.9868,150670,2
153353,1501.488,585.9454,335.2349,0.8202,441.8768,0.9885,155138,2
123912,1294.531,470.6189,335.611,0.701,397.2023,0.9946,124580,2
149845,1467.722,573.7374,333.2054,0.8141,436.7935,0.9918,151080,2
144975,1426.858,535.9053,345.1051,0.7651,429.6369,0.9922,146121,2
136538,1383.509,503.1316,347.8224,0.7226,416.9479,0.9861,138461,2
162525,1520.96,569.8452,363.798,0.7697,454.8992,0.9908,164034,2
129998,1385.066,511.4419,324.9084,0.7723,406.8398,0.9839,132123,2
151554,1454.797,541.0281,357.0083,0.7514,439.2773,0.9941,152457,2
168314,1634.188,611.652,396.3839,0.7616,462.9298,0.8996,187089,2
168126,1581.353,611.1715,369.9803,0.7959,462.6712,0.9631,174568,2
169280,1586.569,589.5577,367.1072,0.7825,464.2564,0.984,172030,2
145165,1466.083,557.8549,332.8617,0.8025,429.9184,0.9873,147033,2
148181,1486.942,548.4078,345.0912,0.7772,434.3615,0.9836,150658,2
178137,1613.375,611.778,371.4034,0.7946,476.2469,0.9873,180422,2
65590,1039.924,372.3486,279.8673,0.6596,288.984,0.8366,78398,2
136159,1393.309,518.6189,335.3107,0.7629,416.3689,0.9861,138084,2
207698,1792.785,677.1498,416.9406,0.788,514.2463,0.9484,219006,2
138061,1397.4399,533.3875,330.7272,0.7846,419.2669,0.9927,139081,2
172108,1570.163,586.244,376.8531,0.766,468.1183,0.9895,173926,2
137932,1404.546,524.6572,335.7947,0.7684,419.071,0.987,139753,2
207029,1765.353,704.8253,375.3293,0.8464,513.4175,0.9929,208510,2
151596,1499.804,576.5701,335.9818,0.8127,439.3382,0.989,153288,2
127056,1364.663,500.5718,325.939,0.759,402.2098,0.9852,128962,2
138262,1403.356,542.065,326.1642,0.7987,419.572,0.9935,139162,2
138766,1392.42,520.9381,340.4706,0.7569,420.336,0.9918,139911,2
153752,1497.799,560.4558,353.3676,0.7762,442.4513,0.9892,155433,2
158096,1524.178,572.8527,353.2698,0.7872,448.6581,0.9898,159732,2
143261,1423.744,529.3361,348.0392,0.7535,427.0897,0.9917,144456,2
146827,1447.351,558.1056,335.986,0.7985,432.3725,0.9919,148026,2
158924,1497.396,549.2912,370.9325,0.7375,449.8315,0.9886,160755,2
102215,1196.941,428.5742,304.2583,0.7043,360.755,0.9858,103689,2
187667,1650.6479,612.0896,393.5074,0.766,488.8201,0.9859,190342,2
143352,1427.5811,515.6693,354.6234,0.726,427.2253,0.9865,145320,2
242106,1897.218,733.3027,424.0022,0.8159,555.2107,0.9891,244779,2
138769,1404.488,516.3408,344.0673,0.7456,420.3405,0.9906,140090,2
140276,1396.4659,515.7888,346.9041,0.74,422.6168,0.9889,141850,2
84406,1084.765,394.5068,273.1771,0.7215,327.8247,0.9899,85271,2
123321,1332.6071,506.1284,311.3531,0.7884,396.2539,0.9925,124256,2
158028,1524.984,583.8958,345.9882,0.8055,448.5616,0.9873,160056,2
152858,1488.0179,568.9197,342.9484,0.7979,441.1631,0.9905,154319,2
80044,1059.046,378.1419,270.6614,0.6983,319.2416,0.9883,80990,2
143446,1435.196,546.4086,335.3802,0.7895,427.3653,0.9896,144948,2
143356,1426.459,550.8297,331.6248,0.7985,427.2312,0.9938,144249,2
134664,1385.511,514.5657,334.5349,0.7598,414.0767,0.9883,136252,2
153700,1453.689,524.5832,373.9211,0.7014,442.3764,0.991,155102,2
165987,1559.245,596.3097,355.5895,0.8027,459.7186,0.9904,167596,2
142413,1438.217,527.6629,346.8893,0.7535,425.8238,0.9794,145415,2
105070,1210.703,458.1432,293.0307,0.7687,365.7585,0.9931,105801,2
149806,1435.4399,526.9439,362.1404,0.7264,436.7367,0.994,150711,2
116078,1265.715,452.304,327.0038,0.6909,384.4413,0.9907,117168,2
131409,1370.5649,500.5441,334.8896,0.7432,409.0417,0.9845,133481,2
136187,1410.527,536.2725,323.7206,0.7972,416.4117,0.9909,137436,2
163097,1527.1021,569.0895,366.1877,0.7655,455.699,0.9885,164998,2
219822,1819.8311,719.0757,392.0395,0.8383,529.0426,0.9887,222332,2
164567,1487.1,534.5702,393.8198,0.6762,457.748,0.9923,165851,2
137347,1413.416,538.478,328.7764,0.792,418.1813,0.9912,138563,2
86213,1096.823,384.0147,286.8239,0.6649,331.3152,0.9863,87412,2
131633,1361.001,523.6849,320.7245,0.7905,409.3902,0.9946,132350,2
162413,1540.894,588.4892,352.1533,0.8012,454.7424,0.9883,164338,2
152861,1474.135,548.472,356.6191,0.7598,441.1674,0.9832,155467,2
79063,1031.912,368.2993,273.6987,0.6691,317.2793,0.9911,79772,2
156886,1507.4919,592.6061,338.0879,0.8213,446.9379,0.993,157985,2
142575,1429.6121,551.2555,331.1201,0.7995,426.0659,0.9896,144067,2
142214,1424.568,526.2787,345.5464,0.7543,425.5261,0.9906,143567,2
155568,1460.313,532.6481,372.7497,0.7143,445.0565,0.993,156657,2
163093,1531.929,581.2218,358.1298,0.7876,455.6934,0.9904,164682,2
146923,1447.576,534.4625,351.8184,0.7528,432.5138,0.9827,149508,2
103302,1190.031,440.8981,299.0482,0.7348,362.6682,0.9917,104165,2
146017,1420.212,530.3442,350.9143,0.7498,431.1782,0.9947,146796,2
137515,1405.913,499.2482,351.661,0.7098,418.437,0.9814,140115,2
114987,1249.179,455.7418,321.8139,0.7081,382.6304,0.9915,115968,2
134094,1444.811,541.8755,358.6036,0.7497,413.1994,0.9223,145397,2
166665,1540.965,583.5817,364.5487,0.7809,460.6566,0.9902,168309,2
112034,1249.8781,460.5971,310.5606,0.7385,377.6852,0.9903,113126,2
156087,1497.073,560.2502,356.9697,0.7707,445.7983,0.9894,157758,2
102162,1191.2061,429.3986,303.5874,0.7072,360.6615,0.9877,103431,2
151963,1477.179,551.4623,352.008,0.7698,439.8696,0.9918,153220,2
148267,1455.217,564.1047,334.9029,0.8047,434.4875,0.9936,149229,2
169030,1550.98,570.1261,377.9843,0.7486,463.9135,0.9896,170811,2
102142,1223.502,441.7251,296.504,0.7412,360.6262,0.9863,103559,2
167497,1580.825,606.2756,353.0795,0.8129,461.8049,0.9827,170443,2
182795,1646.9449,629.4767,374.9311,0.8033,482.4332,0.9895,184729,2
165248,1592.061,612.0599,344.4518,0.8266,458.6941,0.9874,167352,2
131994,1386.02,525.6892,320.6077,0.7925,409.9512,0.9887,133507,2
145774,1451.353,550.7023,337.9216,0.7896,430.8192,0.9918,146972,2
142744,1442.903,557.3111,326.9862,0.8098,426.3183,0.9893,144288,2
125081,1317.364,484.117,329.4612,0.7327,399.0715,0.9909,126226,2
194301,1671.417,615.8516,403.3667,0.7557,497.3849,0.987,196863,2
155595,1507.019,567.617,349.976,0.7873,445.0952,0.9909,157030,2
162925,1511.9821,564.2595,368.63,0.7571,455.4586,0.9937,163952,2
100471,1186.373,437.8452,292.6243,0.7439,357.6642,0.9891,101577,2
112914,1257.132,471.8904,305.1801,0.7627,379.1656,0.9897,114094,2
98903,1172.512,430.8867,292.512,0.7343,354.8622,0.9893,99970,2
167858,1528.949,581.9219,368.1325,0.7745,462.3023,0.9924,169138,2
147204,1447.647,546.0123,343.9355,0.7767,432.9272,0.993,148249,2
110930,1244.495,440.5929,321.4334,0.6839,375.8197,0.9881,112271,2
155520,1496.624,567.7551,349.5084,0.7881,444.9879,0.987,157562,2
149646,1468.194,570.3056,335.8156,0.8083,436.5034,0.9912,150969,2
154497,1491.624,579.3937,340.1177,0.8096,443.5219,0.9934,155530,2
162849,1592.699,624.2347,333.1545,0.8457,455.3524,0.9847,165383,2
192953,1681.762,665.5488,372.4787,0.8287,495.6565,0.9926,194383,2
132721,1397.782,522.2059,324.7898,0.7831,411.0786,0.9877,134379,2
144815,1432.645,530.4765,348.3135,0.7542,429.3998,0.9923,145945,2
142955,1454.557,558.9067,326.4683,0.8117,426.6333,0.9876,144755,2
125374,1320.2679,492.9375,324.2897,0.7531,399.5387,0.9935,126194,2
160709,1508.494,561.2164,366.1832,0.7578,452.3506,0.9892,162470,2
204508,1704.656,612.2499,429.9135,0.712,510.282,0.9841,207810,2
162728,1511.626,568.4935,365.8966,0.7653,455.1832,0.9932,163847,2
102533,1198.348,427.9125,306.0871,0.6988,361.3157,0.9871,103878,2
135777,1436.8719,554.0663,317.0632,0.8201,415.7844,0.9818,138291,2
152960,1476.855,548.2127,358.0435,0.7573,441.3102,0.9893,154608,2
159858,1503.392,560.9233,364.1994,0.7605,451.1513,0.9875,161889,2
186236,1628.151,615.6091,385.9771,0.779,486.9528,0.9896,188192,2
158157,1510.033,591.0096,340.9958,0.8168,448.7446,0.9947,158995,2
145733,1461.642,570.0002,326.5131,0.8197,430.7587,0.9898,147231,2
151209,1482.381,544.0471,356.7963,0.7549,438.777,0.9842,153636,2
95906,1125.9041,400.1798,305.4454,0.6461,349.4443,0.994,96484,2
170267,1617.582,614.0543,354.0693,0.817,465.6078,0.983,173207,2
166212,1553.136,571.5416,373.4686,0.757,460.0301,0.9845,168829,2
143168,1438.64,522.2192,350.9828,0.7405,426.951,0.9856,145262,2
199707,1711.678,663.8049,384.2429,0.8154,504.2567,0.9924,201232,2
162404,1544.915,608.9265,340.2279,0.8293,454.7298,0.9935,163459,2
174168,1574.934,587.6588,378.6228,0.7648,470.9114,0.991,175750,2
143409,1442.124,532.1603,345.7256,0.7602,427.3102,0.9857,145496,2
96664,1145.434,419.3492,293.6552,0.7139,350.8225,0.9938,97268,2
151173,1433.1801,493.1908,390.8281,0.6099,438.7248,0.9886,152921,2
150399,1482.847,570.9537,336.8778,0.8074,437.6002,0.9878,152253,2
163973,1515.802,542.8138,386.6868,0.7018,456.9211,0.9848,166510,2
107981,1239.067,447.3554,308.2379,0.7247,370.7906,0.9899,109086,2
180788,1605.7841,604.344,381.6076,0.7754,479.7775,0.9922,182203,2
137914,1475.6281,570.014,311.584,0.8374,419.0436,0.9835,140228,2
148517,1463.246,549.3091,346.6294,0.7758,434.8537,0.9918,149749,2
179732,1645.203,647.8385,354.4339,0.8371,478.3742,0.9898,181575,2
169147,1569.068,587.965,367.5672,0.7805,464.074,0.9923,170461,2
153048,1523.577,607.1192,321.9273,0.8478,441.4372,0.9922,154253,2
154245,1503.598,546.4366,361.8018,0.7494,443.1601,0.9883,156070,2
144207,1455.647,561.3004,328.1891,0.8113,428.4974,0.9906,145573,2
172379,1647.4351,621.3907,354.2521,0.8216,468.4867,0.9804,175830,2
112819,1255.413,476.7512,301.7341,0.7742,379.0061,0.9933,113578,2
201551,1724.1591,673.0964,382.4955,0.8228,506.5794,0.9917,203247,2
143957,1452.262,523.1368,352.3305,0.7392,428.1259,0.9844,146236,2
156030,1566.979,595.6793,384.2388,0.7641,445.7169,0.9118,171132,2
175894,1587.17,591.8867,379.7294,0.7671,473.239,0.9932,177106,2
167208,1579.176,604.1566,353.461,0.811,461.4064,0.9907,168773,2
101772,1190.234,437.8928,296.5733,0.7357,359.9724,0.9921,102580,2
145435,1468.962,529.6494,351.6841,0.7477,430.318,0.9834,147893,2
146017,1440.998,536.7607,346.9765,0.763,431.1782,0.9883,147745,2
163469,1513.738,536.2514,391.1683,0.684,456.2184,0.9853,165909,2
159802,1530.787,564.7152,362.0923,0.7674,451.0723,0.992,161095,2
109175,1236.871,438.3364,317.6122,0.6892,372.835,0.991,110166,2
175680,1575.722,595.6695,376.3405,0.7751,472.9511,0.9924,177017,2
132384,1351.8929,480.408,352.3761,0.6797,410.5564,0.991,133593,2
132872,1375.502,525.5175,322.7784,0.7891,411.3124,0.9906,134127,2
100547,1172.319,418.8293,306.666,0.6811,357.7994,0.9895,101619,2
121786,1302.6949,484.1827,321.4019,0.7479,393.7801,0.9919,122784,2
155766,1501.9449,568.3051,351.1553,0.7863,445.3397,0.9876,157724,2
77054,1010.373,358.0397,274.449,0.6422,313.2223,0.993,77599,2
139996,1425.17,537.9441,333.2377,0.785,422.1948,0.9928,141018,2
156391,1521.604,569.9616,352.0856,0.7864,446.2322,0.9887,158181,2
146521,1461.604,551.5557,340.1752,0.7872,431.9217,0.986,148604,2
117648,1276.293,471.5745,318.4257,0.7376,387.0324,0.9931,118469,2
60039,911.828,336.7227,228.1414,0.7355,276.4851,0.989,60705,2
129066,1361.24,477.3502,345.5285,0.69,405.3788,0.9846,131091,2
154464,1463.5551,544.9724,361.5594,0.7482,443.4745,0.9944,155339,2
137472,1386.525,511.1523,343.4671,0.7406,418.3716,0.9922,138558,2
142394,1410.396,510.8343,357.1331,0.715,425.7953,0.9844,144650,2
129848,1379.568,509.356,325.7892,0.7687,406.605,0.9846,131885,2
154111,1503.441,574.9857,341.8783,0.804,442.9675,0.9861,156286,2
150802,1466.821,553.0468,347.8298,0.7775,438.1861,0.9924,151958,2
174388,1591.974,603.1065,370.933,0.7885,471.2088,0.9887,176384,2
169788,1561.29,587.5886,369.6528,0.7773,464.9525,0.9877,171905,2
150870,1445.879,537.6102,358.1697,0.7458,438.2849,0.9904,152327,2
191640,1645.98,612.0375,401.4839,0.7548,493.9672,0.991,193385,2
146398,1445.1949,542.8766,344.2591,0.7732,431.7404,0.989,148022,2
79187,1047.858,375.3784,269.2061,0.6969,317.528,0.9885,80108,2
161855,1551.741,606.4048,341.1171,0.8268,453.9606,0.992,163156,2
